Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Инструментальные средства сервисов финтеха,ФЭиБ_Экономика(м-3++)_очная_2,1,1,10,33,10,0,6
Интеллектуальные информационные системы,ИОО_ПИ(м-3++)_заочная_4,1,2,0,32,2,0,10
Интеллектуальные информационные системы,ИОО_ПИ(м-3++)_заочная_6,1,1,4,12,6,0,6
Интеллектуальные информационные системы,ФИТиАБД_ПИ(м-3++)_очная_3,2,2,16,62,20,0,12
Интеллектуальные информационные системы,ФЭиБ_Экономика(м-3+)_очная_6,1,1,10,33,7,0,3
Интерактивные технологии современных коммуникационных платформ (продвинутый уровень),ФМЭО_Лингвистика(м-3++)_очная_6,1,1,10,27,2,0,2
Интернет вещей,ФИТиАБД_ПИ(м-3++)_очная_6,1,1,10,27,5,0,5
Интернет вещей,ФИТиАБД_ПМиИ(м-3++)_очная_6,1,1,10,27,5,0,5
Информационные системы на основе Интернет-технологий,ИОО_ПИ(б-3++)_заочная_6,1,2,0,24,14,0,14
Информационные системы экономического анализа,ИОО_ПИ(м-3++)_заочная_5,1,1,4,18,6,0,6
Искусственный интеллект и компьютерные науки,ФВШУ_Менеджмент(б-3+)_очная_5,2,5,32,100,31,0,31
Компьютерное моделирование экономических и финансовых систем,ИОО_ПИ(м-3++)_заочная_4,1,2,0,32,2,0,10
Компьютерное моделирование экономических и финансовых систем,ИОО_ПИ(м-3++)_заочная_7,1,1,4,12,6,0,6
Компьютерное моделирование экономических и финансовых систем,ФИТиАБД_ПИ(м-3++)_очная_3,2,2,16,48,12,0,12
Компьютерное моделирование экономических и финансовых систем,ФИТиАБД_ПИ(м-3++)_очная_5,1,1,8,24,5,0,5
Корпоративные информационные системы,ИОО_ПИ(б-3++)_заочная_6,1,2,0,24,14,0,14
Корпоративные информационные системы,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,150,45,0,45
Корпоративные информационные системы,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,16,18,13,0,9
Математика,ФИТиАБД_БИ(б-3++)_очная_1,3,11,102,616,83,0,83
Математика,ФИТиАБД_БИ(б-3++)_очная_2,3,11,48,429,111,0,83
Математика,ФИТиАБД_ИБ(б-3++)_очная_1,2,8,32,288,80,0,60
Математика,ФИТиАБД_ИБ(б-3++)_очная_2,2,8,32,312,60,0,60
Математика,ФИТиАБД_ИБ(б-3++)_очная_3,2,7,32,252,70,0,52
Математика механических торговых систем,ФИТиАБД_ПМиИ(б-3++)_очная_7,1,3,16,117,22,0,22
Математические методы принятия решений,ИОО_ПИ(б-3++)_заочная_8,1,2,0,11,12,0,8
Математические методы принятия решений,ФИТиАБД_БИ(б-3+)_очная_4,3,11,102,410,83,0,83
Математические методы принятия решений,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,234,45,0,45
Математические методы принятия решений,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,16,19,9,0,9
Математический анализ,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,32,301,53,0,53
Математический анализ,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,68,399,71,0,53
Математический анализ,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,68,204,60,0,44
Машинное зрение,ФИТиАБД_ПИ(м-3++)_очная_6,1,1,10,27,5,0,5
Машинное зрение,ФИТиАБД_ПМиИ(м-3++)_очная_6,1,1,10,27,6,0,6
Машинное обучение,ИОО_ПИ(б-3++)_заочная_4,1,2,0,16,12,0,8
