Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Теория вероятностей и математическая статистика,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,32,301,53,0,53
Теория вероятностей и математическая статистика,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,68,228,60,0,44
Теория информационных процессов и систем,ИОО_ПИ(б-3+)_заочная_9,1,1,0,18,10,0,5
Теория сложных сетей в экономике,ФИТиАБД_ПМиИ(б-3++)_очная_6,2,6,32,125,39,0,0
Технологии автоматизации разработки информационных систем,ФИТиАБД_ПИ(б-3++)_очная_7,1,4,16,84,40,0,30
Технологии автоматизации разработки информационных систем,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,16,19,10,0,6
Технологии анализа данных и машинного обучения,ИОО_ПИ(б-3++)_заочная_8,1,2,0,22,12,54,0
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,32,234,61,0,45
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очная_6,2,6,32,234,61,447,0
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очная_7,1,4,16,144,40,0,30
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,2,16,21,13,0,9
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очно-заочная_6,1,2,16,19,13,87,0
Технологии анализа данных и машинного обучения,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,16,19,10,0,6
Технологии анализа данных и машинного обучения,ФИТиАБД_ПМиИ(б-3++)_очная_5,2,6,32,195,53,0,0
Технологии анализа данных и машинного обучения,ФИТиАБД_ПМиИ(б-3++)_очная_6,2,6,32,195,53,387,39
Технологии анализа данных и машинного обучения,ФИТиАБД_ПМиИ(б-3++)_очная_7,2,5,32,295,50,363,0
Технологии и алгоритмы анализа сетевых моделей,ФИТиАБД_ПИ(б-3++)_очная_6,2,5,16,188,31,0,31
Технологии и алгоритмы анализа сетевых моделей,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,16,25,6,0,6
Технологии и средства цифровизации сельского хозяйства,ФИТиАБД_МехРобот(м-3++)_очная_2,1,1,20,48,9,0,5
Технологии обработки больших данных,ИОО_ПИ(б-3+)_заочная_9,1,1,0,18,10,0,5
Технологии обработки больших данных,ИОО_ПИ(б-3++)_заочная_4,1,2,0,24,12,0,8
Технологии обработки больших данных,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,273,58,0,58
Технологии обработки больших данных,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,32,273,76,0,58
Технологии обработки больших данных,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,68,246,61,0,45
Технологии обработки больших данных,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,16,42,14,0,14
Технологии обработки больших данных,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,32,234,44,0,44
Технологии обработки больших данных,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,32,234,60,0,44
Технологии обработки больших данных,ФИТиАБД_ПМиИ(б-3++)_очная_5,2,6,68,205,53,0,39
Технологии обработки данных,ИОО_ПИ(б-3++)_заочная_2,1,2,0,18,2,0,15
Технологии обработки данных,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,32,344,60,0,60
Технологии обработки данных,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,0,96,30,0,30
Технологии обработки данных,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,32,301,53,0,53
Технологии параллельного программирования,ФИТиАБД_ПИ(б-3++)_очная_7,1,2,16,86,15,0,15
Технологии параллельного программирования,ФИТиАБД_ПИ(б-3++)_очно-заочная_8,1,1,16,36,6,0,6
Технологии разработки приложений для мобильных устройств,ИОО_ПИ(б-3++)_заочная_7,1,2,0,12,8,0,8
Технологии разработки приложений для мобильных устройств,ФИТиАБД_ПИ(б-3++)_очная_7,1,4,16,144,40,0,30
Технологии разработки приложений для мобильных устройств,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,16,21,10,0,6
Технологии разработки программного обеспечения,ИОО_ПИ(б-3++)_заочная_4,2,5,0,48,36,0,26
Технологии разработки web приложений,ИОО_ПИ(б-3++)_заочная_6,1,2,0,24,14,0,14
Технологии разработки web приложений,ИОО_ПИ(б-3++)_заочная_7,1,2,0,16,12,0,8
Технологии разработки web приложений,ФИТиАБД_ПИ(б-3++)_очно-заочная_7,1,1,16,21,6,0,6
Технологии разработки web приложений,ФИТиАБД_ПИ(б-3++)_очно-заочная_8,1,1,16,50,10,0,6
Управление качеством программных систем,ИОО_ПИ(б-3++)_заочная_8,1,2,0,16,12,0,8
Учебно-научный семинар,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,4,16,0,0,0
Учебно-научный семинар,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,4,32,60,0,0
Учебно-научный семинар,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,2,8,0,0,0
Учебно-научный семинар,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,2,16,30,0,0
Учебно-научный семинар,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,4,14,0,0,0
Учебно-научный семинар,ФИТиАБД_ПМиИ(б-3++)_очная_2,2,7,4,28,53,0,0
Финансовая математика,ИОО_ПИ(б-3++)_заочная_6,1,2,0,22,20,0,14
Финансовая математика,ФИТиАБД_ПИ(б-3++)_очная_5,2,6,32,126,61,0,45
Финансовая математика,ФИТиАБД_ПИ(б-3++)_очно-заочная_8,1,1,16,19,10,0,6
Финансовая математика,ФИТиАБД_ПМиИ(б-3++)_очная_5,2,6,32,195,53,0,0
Финансовая математика и ее приложения,ИОО_ПИ(б-3++)_заочная_3,1,2,0,18,8,0,8
Финансовая математика и ее приложения,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,301,58,0,58
Финансовая математика и ее приложения,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,16,46,14,0,14
Финансовая математика и ее приложения,ФИТиАБД_ПМиИ(б-3++)_очная_3,2,6,32,150,60,0,44
Финансовый университет: история и современность,ФИТиАБД_БИ(б-3++)_очная_1,3,11,36,66,83,0,0
Финансовый университет: история и современность,ФИТиАБД_ИБ(б-3++)_очная_1,2,8,24,48,60,0,0
Финансовый университет: история и современность,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,24,48,60,0,0
Финансовый университет: история и современность,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,12,20,30,0,0
Финансовый университет: история и современность,ФИТиАБД_ПМиИ(б-3++)_очная_1,2,7,24,42,53,0,0
Финтех: инструментарий и модели бизнеса,ИОО_ПИ(м-3++)_заочная_3,1,2,0,32,2,0,10
Финтех: инструментарий и модели бизнеса,ИОО_Экономика(м-3+)_заочная_5,1,1,4,16,4,0,4
Финтех: инструментарий и модели бизнеса,ФВШУ_Менеджмент(м-3+)_очная_5,1,1,8,31,6,0,6
Финтех: инструментарий и модели бизнеса,ФИТиАБД_ИБ(м-3+)_очная_5,1,1,8,24,7,0,7
Финтех: инструментарий и модели бизнеса,ФИТиАБД_ПИ(м-3++)_очная_3,2,2,16,62,12,0,12
Финтех: инструментарий и модели бизнеса,ФИТиАБД_ПМиИ(б-3++)_очная_6,2,6,32,180,53,0,39
Финтех: инструментарий и модели бизнеса,ФМЭО_Экономика(м-3+)_очная_5,1,1,8,31,6,0,6
Финтех: инструментарий и модели бизнеса,ФНАиБА_Экономика(м-3+)_очная_6,1,1,6,31,6,0,6
Финтех: инструментарий и модели бизнеса,ФЭиБ_Туризм(м-3+)_очная_5,1,1,8,31,3,0,3
Численные методы,ИОО_ПИ(б-3++)_заочная_5,1,2,0,24,14,0,14
Численные методы,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,32,216,60,0,44
Эконометрика,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,32,258,44,0,44
Эконометрика,ФИТиАБД_ПМиИ(б-3++)_очная_5,2,6,32,195,53,0,39
Эконометрика,ФИТиАБД_ПМиИ(б-3++)_очная_6,2,6,32,195,53,0,39
Web-программирование,ИОО_ПИ(б-3++)_заочная_6,1,2,0,32,20,0,14
